Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
3,Dallas,Dallas_TX,TX,34,64,10,3,0,Fair,FALSE,FALSE,FALSE,twilight
2,Oklahoma City,Oklahoma_OK,OK,86,53,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
2,Baton Rouge,East Baton Rouge_LA,LA,80.1,87,10,4.6,0,Clear,TRUE,FALSE,FALSE,day
3,San Antonio,Bexar_TX,TX,78.8,83,10,9.2,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,50,77,10,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,88,39,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Theodore,Mobile_AL,AL,48,86,10,12,0,Light Rain,FALSE,FALSE,TRUE,night
4,Oswego,Oswego_NY,NY,44,73,10,7,0,Cloudy,FALSE,FALSE,TRUE,day
2,Minneapolis,Hennepin_MN,MN,71.1,55,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Saint Louis,St. Louis County_MO,MO,73,71,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,66.9,68,10,3.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Old Bridge,Middlesex_NJ,NJ,82.4,30,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Bowie,Prince Georges_MD,MD,82.4,74,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,66.2,49,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Omaha,Douglas_NE,NE,84,55,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,62.1,90,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Springfield,Greene_MO,MO,77,58,10,5.8,0,Clear,FALSE,FALSE,TRUE,day
2,Los Gatos,Santa Cruz_CA,CA,51.1,68,10,5.8,0.01,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Byron,Contra Costa_CA,CA,55,74,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Portsmouth,Portsmouth_VA,VA,28.9,96,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Bronx,Bronx_NY,NY,55.9,29,10,6.9,0,Clear,FALSE,FALSE,FALSE,twilight
2,Piedmont,Greenville_SC,SC,66.2,28,10,5.8,0,Clear,FALSE,FALSE,TRUE,day
3,Central Valley,Orange_NY,NY,80.6,28,20,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Beaverton,Washington_OR,OR,49,86,4,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Jacksonville,Duval_FL,FL,73.9,100,6,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
3,Charlotte,Mecklenburg_NC,NC,30.9,72,10,6.9,0,Clear,FALSE,FALSE,FALSE,twilight
2,Saint Louis,St. Louis City_MO,MO,75,87,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Canajoharie,Montgomery_NY,NY,79,26,15,6,0,Fair,FALSE,FALSE,FALSE,day
2,Lancaster,Lancaster_PA,PA,57,93,10,3.5,0,Overcast,FALSE,TRUE,FALSE,day
2,New York,New York_NY,NY,43,93,2,6.9,0.02,Light Rain,FALSE,FALSE,FALSE,day
3,Decatur,DeKalb_GA,GA,37.9,68,10,6.9,0,Clear,FALSE,FALSE,FALSE,twilight
3,Detroit,Wayne_MI,MI,79,69,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Greer,Spartanburg_SC,SC,80.1,62,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,Phoenix,Maricopa_AZ,AZ,52,69,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Temple,Carroll_GA,GA,41,100,2.5,0,0,Overcast,TRUE,FALSE,FALSE,twilight
3,Boynton Beach,Palm Beach_FL,FL,82,79,10,15,0,Light Rain,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,61,75,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
2,Arlington,Tarrant_TX,TX,63.5,83,7,0,0,Scattered Clouds,FALSE,FALSE,TRUE,night
2,Crestview Hills,Kenton_KY,KY,42,76,10,15,0,Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,72,68,10,8,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Los Angeles,Los Angeles_CA,CA,56,84,10,3,0,Partly Cloudy,TRUE,FALSE,FALSE,night
2,Columbia,Richland_SC,SC,72,57,10,0,0,Clear,FALSE,FALSE,TRUE,day
2,Fort Myers,Lee_FL,FL,62.1,80,10,5.8,0,Partly Cloudy,FALSE,FALSE,TRUE,twilight
2,Elgin,Kane_IL,IL,43,58,10,19.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,78.1,52,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
2,San Antonio,Bexar_TX,TX,80.1,74,10,11.5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,La Pine,Deschutes_OR,OR,30.2,93,0.8,5.8,0,Light Snow,FALSE,FALSE,FALSE,day
3,San Pablo,Contra Costa_CA,CA,84,25,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Tooele,Tooele_UT,UT,54,72,10,20,0,Fair,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,46.4,100,10,4.6,0,Clear,FALSE,FALSE,FALSE,twilight
2,Atlanta,Fulton_GA,GA,87.1,49,10,8.1,0,Clear,FALSE,FALSE,TRUE,day
3,Purdys,Westchester_NY,NY,82.9,49,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,80.1,36,10,16.1,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Chico,Butte_CA,CA,30.2,64,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Tooele,Tooele_UT,UT,91,14,10,3,0,Fair,FALSE,FALSE,FALSE,day
3,San Antonio,Bexar_TX,TX,83,72,10,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Yorktown Heights,Westchester_NY,NY,35.1,92,2.5,16.1,0.01,Light Drizzle,FALSE,FALSE,FALSE,night
3,San Bernardino,San Bernardino_CA,CA,55.4,77,10,0,0,Clear,TRUE,FALSE,FALSE,night
2,Orlando,Orange_FL,FL,79,97,10,3.5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Cromwell,Middlesex_CT,CT,36,70,10,6.9,0,Overcast,FALSE,FALSE,FALSE,twilight
3,San Diego,San Diego_CA,CA,73,64,10,9.2,0,Clear,FALSE,FALSE,FALSE,twilight
2,Lafayette,Lafayette_LA,LA,81,67,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Minneapolis,Hennepin_MN,MN,37.9,68,10,4.6,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Red Wing,Goodhue_MN,MN,84.2,40,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
4,Jasper,Pickens_GA,GA,78.8,18,10,8.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,79,88,10,16.1,0,Overcast,FALSE,FALSE,FALSE,night
2,Morrisville,Wake_NC,NC,86,55,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Baton Rouge,East Baton Rouge_LA,LA,75,24,10,13,0,Fair,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,100,34,10,20.7,0,Clear,FALSE,FALSE,FALSE,day
2,Anderson,Anderson_SC,SC,54,75,10,12.7,0,Overcast,TRUE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,74,76,10,0,0,Fair,FALSE,FALSE,FALSE,day
3,Phoenix,Maricopa_AZ,AZ,74,32,10,8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Myrtle Beach,Horry_SC,SC,71.1,68,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Hopkins,Hennepin_MN,MN,36,89,8,15,0,Overcast,FALSE,FALSE,FALSE,day
2,Newark,Essex_NJ,NJ,42.1,89,9,21.9,0.02,Overcast,FALSE,FALSE,FALSE,day
2,Sacramento,Sacramento_CA,CA,89.1,23,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
2,Chicago,Cook_IL,IL,27,81,4,4.6,0,Light Snow,FALSE,FALSE,FALSE,day
3,Charleston,Charleston_SC,SC,36,44,10,11.5,0,Clear,TRUE,FALSE,FALSE,day
2,Orlando,Orange_FL,FL,88,63,10,10.4,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Edmonds,Snohomish_WA,WA,65,73,10,0,0,Cloudy,FALSE,FALSE,TRUE,day
2,Greenwood,Greenwood_SC,SC,39,93,8,5.8,0.01,Overcast,FALSE,FALSE,FALSE,day
3,San Antonio,Bexar_TX,TX,57.7,68,10,8.1,0,Scattered Clouds,FALSE,FALSE,TRUE,night
2,Los Angeles,Los Angeles_CA,CA,82.9,46,9,4.6,0,Clear,TRUE,TRUE,FALSE,day
2,Peoria,Maricopa_AZ,AZ,53.6,62,10,5.8,0,Partly Cloudy,FALSE,FALSE,TRUE,twilight
3,North Charleston,Charleston_SC,SC,72,84,10,5,0,Cloudy,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,77,90,2,3,0.01,Heavy T-Storm,FALSE,FALSE,FALSE,day
3,Whitehall,Lehigh_PA,PA,89.1,45,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Huntsville,Madison_AL,AL,64,65,8,5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Orlando,Orange_FL,FL,77,88,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Santa Clara,Santa Clara_CA,CA,45,68,9,4.6,0,Partly Cloudy,FALSE,FALSE,TRUE,night
3,Irvine,Orange_CA,CA,81,52,9,6.9,0,Clear,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,71.1,51,10,4.6,0,Clear,TRUE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,66.9,66,8,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Butler,Butler_PA,PA,35.1,76,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Ridgewood,Bergen_NJ,NJ,45,42,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Indianapolis,Marion_IN,IN,53.1,80,10,6.9,0,Clear,FALSE,FALSE,TRUE,day
2,Williston,Chittenden_VT,VT,71,84,10,22,0,Light Rain / Windy,FALSE,FALSE,FALSE,night
3,Grand Rapids,Kent_MI,MI,25,81,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Houston,Harris_TX,TX,91,48,10,13.8,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,61,90,7,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Seattle,King_WA,WA,62.1,96,10,8.1,0.03,Overcast,FALSE,FALSE,FALSE,twilight
2,Bloomington,San Bernardino_CA,CA,50,80,10,5.8,0,Clear,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,71.6,94,7,10.4,0,Overcast,FALSE,FALSE,TRUE,night
2,San Antonio,Bexar_TX,TX,66.2,100,3,6.9,0,Overcast,FALSE,FALSE,FALSE,day
2,San Rafael,Marin_CA,CA,62.6,63,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
2,Happy Valley,Clackamas_OR,OR,55.9,75,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,75.9,82,10,12.7,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Los Angeles,Los Angeles_CA,CA,64,67,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
3,Atlanta,Fulton_GA,GA,69.1,78,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Lawndale,Los Angeles_CA,CA,78.1,43,6,4.6,0,Haze,FALSE,FALSE,FALSE,day
3,Perrysburg,Wood_OH,OH,66,81,10,10,0,Fair,FALSE,FALSE,FALSE,day
2,Winters,Solano_CA,CA,68,12,10,7,0,Fair,FALSE,FALSE,FALSE,day
4,Fort Lauderdale,Broward_FL,FL,71,55,10,5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Downey,Los Angeles_CA,CA,55,69,10,0,0,Partly Cloudy,TRUE,FALSE,FALSE,night
3,San Jose,Santa Clara_CA,CA,87.8,29,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
3,New Cumberland,York_PA,PA,60.1,78,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Topanga,Los Angeles_CA,CA,73,71,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,60.8,77,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Fleming Island,Clay_FL,FL,90,57,10,9,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Vallejo,Solano_CA,CA,66,70,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Maple Heights,Cuyahoga_OH,OH,30.9,76,10,26.5,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Atlanta,Fulton_GA,GA,64,67,10,12,0,Fair,FALSE,FALSE,FALSE,day
2,Cartersville,Bartow_GA,GA,77,84,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,56.1,21,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Novi,Oakland_MI,MI,71.1,90,5,5.8,0,Light Rain,FALSE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,70,14,10,15,0,Fair,FALSE,FALSE,FALSE,day
3,Lostant,LaSalle_IL,IL,39.6,86,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
3,Fountain Inn,Laurens_SC,SC,46,71,10,7,0,Fair,FALSE,FALSE,FALSE,night
2,Whitmore Lake,Livingston_MI,MI,48.9,100,0.2,0,0,Fog,FALSE,FALSE,FALSE,twilight
3,Houston,Harris_TX,TX,77,83,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Anaheim,Orange_CA,CA,69.1,44,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Greenville,Greenville_SC,SC,95,27,10,8,0,Fair,FALSE,FALSE,FALSE,day
2,Summerville,Dorchester_SC,SC,53.6,41,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Torrance,Los Angeles_CA,CA,59,42,10,0,0,Clear,FALSE,FALSE,FALSE,night
3,Alamo,Contra Costa_CA,CA,45,58,10,4.6,0,Clear,FALSE,FALSE,FALSE,twilight
2,Myrtle Beach,Horry_SC,SC,55,38,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,69,90,10,6,0,Fair,FALSE,FALSE,FALSE,day
4,Parkersburg,Richland_IL,IL,52.5,84,10,0,0,Light Rain,FALSE,FALSE,FALSE,day
2,North Hollywood,Los Angeles_CA,CA,66.9,54,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Lake City,Florence_SC,SC,46.4,34,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Wayne,Passaic_NJ,NJ,24.1,51,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
3,Baton Rouge,East Baton Rouge_LA,LA,89.1,55,10,15,0,Thunderstorm,TRUE,FALSE,FALSE,day
2,Navarre,Santa Rosa_FL,FL,61,93,10,7,0,Mostly Cloudy,FALSE,FALSE,TRUE,twilight
2,Decatur,Morgan_AL,AL,96,38,10,7,0,Fair,FALSE,FALSE,FALSE,day
3,Atlanta,DeKalb_GA,GA,75,84,10,6.9,0,Overcast,FALSE,FALSE,FALSE,day
2,Independence,Jackson_MO,MO,82.9,74,10,12.7,0,Clear,TRUE,FALSE,FALSE,twilight
2,Austin,Travis_TX,TX,37,62,10,18,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Edison,Middlesex_NJ,NJ,69.8,92,7,0,0,Overcast,TRUE,FALSE,TRUE,day
2,Oklahoma City,Oklahoma_OK,OK,80.1,58,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Los Angeles,Los Angeles_CA,CA,66,78,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Redlands,San Bernardino_CA,CA,102,11,10,9,0,Fair,FALSE,FALSE,FALSE,day
2,Hagerstown,Washington_MD,MD,63,65,10,6.9,0,Overcast,FALSE,FALSE,FALSE,day
2,Orlando,Orange_FL,FL,79,88,10,3,0,Fair,FALSE,FALSE,TRUE,day
2,North Tonawanda,Niagara_NY,NY,64.9,33,10,25.3,0,Clear,FALSE,FALSE,TRUE,day
2,Atlanta,DeKalb_GA,GA,45,63,10,6.9,0,Overcast,FALSE,FALSE,TRUE,twilight
2,Memphis,Shelby_TN,TN,93.9,47,10,5.8,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Saint Paul,Ramsey_MN,MN,75.2,73,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Alpharetta,Fulton_GA,GA,71.6,88,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Providence,Providence_RI,RI,90,59,10,16.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Indianapolis,Marion_IN,IN,55,93,2,3,0,Fog,FALSE,FALSE,TRUE,day
2,Sunapee,Sullivan_NH,NH,34,85,0.8,3.5,0,Light Snow,FALSE,FALSE,FALSE,day
3,Lorton,Fairfax County_VA,VA,74,53,10,3,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Bellaire,Harris_TX,TX,59,100,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Baton Rouge,East Baton Rouge_LA,LA,75.9,79,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,75,79,10,5,0,Cloudy,FALSE,FALSE,FALSE,day
2,Sausalito,Marin_CA,CA,55.9,69,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,84,53,10,6.9,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Downey,Los Angeles_CA,CA,42.1,67,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Menomonee Falls,Waukesha_WI,WI,42.8,53,10,8.1,0,Thunderstorms and Rain,TRUE,FALSE,FALSE,twilight
2,Merrimack,Hillsborough_NH,NH,75.9,82,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Modesto,Stanislaus_CA,CA,69.1,61,5,0,0,Clear,FALSE,FALSE,FALSE,day
2,Livonia,Wayne_MI,MI,58,81,10,7,0,Rain,FALSE,FALSE,FALSE,day
3,Chicago,Cook_IL,IL,66,52,10,8.1,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Houston,Harris_TX,TX,81,85,9,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Westfir,Lane_OR,OR,37.9,89,9,8.1,0.01,Light Rain,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,53,71,10,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Washington Boro,Lancaster_PA,PA,66.9,100,2.5,4.6,0.05,Light Rain,FALSE,FALSE,FALSE,twilight
2,Charleston,Kanawha_WV,WV,62.1,90,0.8,11.5,0.21,Heavy Rain,FALSE,FALSE,FALSE,day
2,Antelope,Sacramento_CA,CA,66,68,10,7,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Fairhope,Baldwin_AL,AL,72,73,10,10,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Austin,Travis_TX,TX,66.9,42,10,3.5,0,Clear,FALSE,FALSE,FALSE,twilight
2,Benicia,Solano_CA,CA,35.1,76,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Saint Petersburg,Pinellas_FL,FL,84.9,69,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
4,Grand Rapids,Kent_MI,MI,50,77,10,17.3,0,Overcast,FALSE,FALSE,FALSE,day
3,Smyrna,Cobb_GA,GA,63.5,25,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,19.9,71,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,62.1,80,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Purchase,Westchester_NY,NY,44.1,100,0.2,9.2,0,Fog,FALSE,FALSE,FALSE,night
3,Silver Spring,Montgomery_MD,MD,81,39,10,10.4,0,Clear,TRUE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,59,96,10,8.1,0,Light Rain,FALSE,FALSE,FALSE,twilight
2,Nashville,Davidson_TN,TN,45,52,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
3,West Palm Beach,Palm Beach_FL,FL,79,88,10,0,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
4,Grantsville,Garrett_MD,MD,77,61,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Ogden,Weber_UT,UT,83,18,10,3,0,Fair,FALSE,FALSE,TRUE,day
2,Suffern,Rockland_NY,NY,67,84,10,0,0,Cloudy,FALSE,FALSE,FALSE,day
3,Fairfax,Fairfax County_VA,VA,26.1,92,10,0,0,Overcast,TRUE,FALSE,FALSE,twilight
3,Knoxville,Knox_TN,TN,67,34,10,22,0,Mostly Cloudy / Windy,FALSE,FALSE,FALSE,day
3,Downey,Los Angeles_CA,CA,60.1,53,10,9.2,0,Clear,FALSE,FALSE,FALSE,twilight
3,Newnan,Coweta_GA,GA,56,39,10,9,0,Fair,FALSE,FALSE,FALSE,day
2,Oviedo,Seminole_FL,FL,72,91,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Nashville,Davidson_TN,TN,61,81,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Van Nuys,Los Angeles_CA,CA,87.1,6,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
3,Louisville,Jefferson_KY,KY,39.9,45,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,Manchester,Coffee_TN,TN,41,65,10,16.1,0,Clear,FALSE,FALSE,FALSE,day
2,Plymouth,Wayne_MI,MI,79,40,10,14,0,Fair,FALSE,FALSE,FALSE,day
2,Davenport,Scott_IA,IA,65,78,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,43,51,10,0,0,Clear,FALSE,FALSE,TRUE,night
2,San Antonio,Bexar_TX,TX,72,93,7,9.2,0.06,Thunderstorms and Rain,FALSE,FALSE,FALSE,day
2,Lexington,Davidson_NC,NC,82,49,10,0,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,La Mirada,Los Angeles_CA,CA,77,12,10,3.5,0,Clear,FALSE,FALSE,TRUE,day
2,Austin,Travis_TX,TX,95,37,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,41,53,10,10.4,0,Overcast,FALSE,FALSE,FALSE,day
2,Carnegie,Allegheny_PA,PA,19.9,74,8,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Culver City,Los Angeles_CA,CA,75,62,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,46.9,93,10,0,0,Overcast,FALSE,FALSE,FALSE,night
2,Sacramento,Sacramento_CA,CA,48.9,97,4,11.5,0.03,Rain,FALSE,FALSE,FALSE,day
2,Washington,District of Columbia_DC,DC,49,97,10,0,0,Fair,FALSE,FALSE,FALSE,twilight
2,Jacksonville,Duval_FL,FL,55.9,77,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,night
2,Rock Island,Douglas_WA,WA,25,88,10,9.2,0,Clear,FALSE,FALSE,FALSE,twilight
3,Saint Louis,St. Louis County_MO,MO,88,55,10,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Rochester,Monroe_NY,NY,74,85,10,8,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,57,74,10,8.1,0,Overcast,FALSE,FALSE,TRUE,day
2,Agoura Hills,Los Angeles_CA,CA,84,27,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Columbus,Franklin_OH,OH,74,91,1,14,0.07,Heavy Rain,FALSE,FALSE,FALSE,day
2,Freehold,Monmouth_NJ,NJ,35.1,59,10,5.8,0,Overcast,FALSE,FALSE,TRUE,day
2,Long Beach,Los Angeles_CA,CA,73,64,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Everett,Middlesex_MA,MA,60.1,75,10,3.5,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Frisco,Collin_TX,TX,78.8,69,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,77,64,10,8.1,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Monrovia,Frederick_MD,MD,57.2,33,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Dalton,Whitfield_GA,GA,75.2,83,10,0,0,Clear,FALSE,FALSE,FALSE,day
